assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date
GCA_019669945.1,PRJDB8302,SAMD00171895,,na,2209,2209,Methanosarcina mazei,strain=TMA,,latest,Complete Genome,Major,Full,02/06/2021,ASM1966994v1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",GCF_019669945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/945/GCA_019669945.1_ASM1966994v1,,,na
GCA_003584605.1,PRJDB5067,SAMD00060421,,na,2210,2210,Methanosarcina thermophila,strain=MT-1,,latest,Complete Genome,Major,Full,07/12/2016,ASM358460v1,Tokyo University of Pharmacy and Life Sciences,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/605/GCA_003584605.1_ASM358460v1,RefSeq annotation failed; derived from environmental source; incomplete metagenome,,na
GCA_004799605.1,PRJNA530823,SAMN11158145,,representative genome,2242,2242,Halobacterium salinarum,strain=91-R6,,latest,Complete Genome,Major,Full,18/04/2019,ASM479960v1,Max-Planck-Institute of Biochemistry,GCF_004799605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/605/GCA_004799605.1_ASM479960v1,,assembly from type material,na
GCA_029225785.1,PRJNA865582,SAMN30630946,,representative genome,2254,2254,Haloferax lucentense,strain=SVX82,,latest,Complete Genome,Major,Full,16/03/2023,ASM2922578v1,Consiglio nazionale delle ricerche,GCF_029225785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/225/785/GCA_029225785.1_ASM2922578v1,,,na
GCA_009729015.1,PRJNA488459,SAMN09933089,,representative genome,2283,2283,Acidianus ambivalens,strain=LEI 10,,latest,Complete Genome,Major,Full,04/12/2019,ASM972901v1,North Carolina State University,GCF_009729015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/015/GCA_009729015.1_ASM972901v1,,assembly from type material,na
GCA_002215405.1,PRJNA378849,SAMN06562953,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 18-5,,latest,Complete Genome,Major,Full,06/07/2017,ASM221540v1,Harvard University,GCF_002215405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/405/GCA_002215405.1_ASM221540v1,,,na
GCA_002215445.1,PRJNA378849,SAMN06562952,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 20-20,,latest,Complete Genome,Major,Full,06/07/2017,ASM221544v1,Harvard University,GCF_002215445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/445/GCA_002215445.1_ASM221544v1,,,na
GCA_002215485.1,PRJNA378849,SAMN06562951,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 16-22,,latest,Complete Genome,Major,Full,06/07/2017,ASM221548v1,Harvard University,GCF_002215485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/485/GCA_002215485.1_ASM221548v1,,,na
GCA_002215525.1,PRJNA378849,SAMN06562950,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 13-1,,latest,Complete Genome,Major,Full,06/07/2017,ASM221552v1,Harvard University,GCF_002215525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/525/GCA_002215525.1_ASM221552v1,,,na
GCA_002215565.1,PRJNA378849,SAMN06562949,,representative genome,2285,2285,Sulfolobus acidocaldarius,strain=DG1,,latest,Complete Genome,Major,Full,06/07/2017,ASM221556v1,Harvard University,GCF_002215565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/565/GCA_002215565.1_ASM221556v1,,,na
GCA_019175305.1,PRJNA716249,SAMN18406479,,na,2286,2286,Saccharolobus shibatae,strain=S38A,,latest,Complete Genome,Major,Full,08/07/2021,ASM1917530v1,Skolkovo Institute of Science and Technology,GCF_019175305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/175/305/GCA_019175305.1_ASM1917530v1,,,na
GCA_019175325.1,PRJNA716248,SAMN18407733,,na,2286,2286,Saccharolobus shibatae,strain=BEU9,,latest,Complete Genome,Major,Full,08/07/2021,ASM1917532v1,Skolkovo Institute of Science and Technology,GCF_019175325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/175/325/GCA_019175325.1_ASM1917532v1,,,na
GCA_000968355.2,PRJNA279939,SAMN03452281,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-B,,latest,Complete Genome,Major,Full,25/10/2018,ASM96835v2,University of Nebraska-Lincoln,GCF_000968355.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/355/GCA_000968355.2_ASM96835v2,,,na
GCA_000968395.2,PRJNA277733,SAMN03395044,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-C,,latest,Complete Genome,Major,Full,25/10/2018,ASM96839v2,University of Nebraska-Lincoln,GCF_000968395.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/395/GCA_000968395.2_ASM96839v2,,,na
GCA_000968435.2,PRJNA279935,SAMN03452280,,na,2287,2287,Saccharolobus solfataricus,strain=SULA,98/2,latest,Complete Genome,Major,Full,31/10/2018,ASM96843v2,University of Nebraska-Lincoln,GCF_000968435.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/435/GCA_000968435.2_ASM96843v2,,,na
GCA_003852095.1,PRJNA347857,SAMN05896748,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-O,,latest,Complete Genome,Major,Full,29/11/2018,ASM385209v1,University of Nebraska-Lincoln,GCF_003852095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/095/GCA_003852095.1_ASM385209v1,,,na
GCA_003852115.1,PRJNA352873,SAMN06006254,,na,2287,2287,Saccharolobus solfataricus,strain=SUL120,,latest,Complete Genome,Major,Full,29/11/2018,ASM385211v1,University of Nebraska-Lincoln,GCF_003852115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/115/GCA_003852115.1_ASM385211v1,,,na
GCA_003852135.1,PRJNA347847,SAMN05896255,,na,2287,2287,Saccharolobus solfataricus,strain=SULG,,latest,Complete Genome,Major,Full,29/11/2018,ASM385213v1,University of Nebraska-Lincoln,GCF_003852135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/135/GCA_003852135.1_ASM385213v1,,,na
GCA_003852155.1,PRJNA347854,SAMN05896746,,representative genome,2287,2287,Saccharolobus solfataricus,strain=SULM,,latest,Complete Genome,Major,Full,29/11/2018,ASM385215v1,University of Nebraska-Lincoln,GCF_003852155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/155/GCA_003852155.1_ASM385215v1,,,na
GCA_003852175.1,PRJNA347855,SAMN05896747,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-N,,latest,Complete Genome,Major,Full,29/11/2018,ASM385217v1,University of Nebraska-Lincoln,GCF_003852175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/175/GCA_003852175.1_ASM385217v1,,,na
GCA_003852195.1,PRJNA347851,SAMN05896744,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-H,,latest,Complete Genome,Major,Full,29/11/2018,ASM385219v1,University of Nebraska-Lincoln,GCF_003852195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/195/GCA_003852195.1_ASM385219v1,,,na
GCA_003852215.1,PRJNA347852,SAMN05896745,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-I,,latest,Complete Genome,Major,Full,29/11/2018,ASM385221v1,University of Nebraska-Lincoln,GCF_003852215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/215/GCA_003852215.1_ASM385221v1,,,na
GCA_015654385.1,PRJNA616127,SAMN14482681,,na,2287,2287,Saccharolobus solfataricus,strain=POZ149,,latest,Complete Genome,Major,Full,23/11/2020,ASM1565438v1,Institut Pasteur,GCF_015654385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/654/385/GCA_015654385.1_ASM1565438v1,,,na
GCA_900079115.1,PRJEB13308,SAMEA3920617,,na,2287,2287,Saccharolobus solfataricus,strain=P1,,latest,Complete Genome,Major,Full,11/04/2016,SSOP1,Institute of Biology,GCF_900079115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/115/GCA_900079115.1_SSOP1,,assembly from type material,na
GCA_902384015.1,PRJEB33885,SAMEA5851668,,representative genome,2317,2317,Methanosphaera stadtmanae,,MGYG-HGUT-02164,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02164,EMG,GCF_902384015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/384/015/GCA_902384015.1_UHGG_MGYG-HGUT-02164,,,na
GCA_002355655.1,PRJDB4921,SAMD00053811,,na,29284,29284,Halorubrum trapanicum,strain=CBA1232,,latest,Complete Genome,Major,Full,01/07/2016,ASM235565v1,Korea Basic Science Institute,GCF_002355655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/655/GCA_002355655.1_ASM235565v1,,,na
GCA_024662215.1,PRJNA801442,SAMN25349865,,representative genome,33865,33865,Methanoplanus endosymbiosus,strain=DSM 3599,,latest,Complete Genome,Major,Full,15/08/2022,ASM2466221v1,National Chung Hsing University,GCF_024662215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/662/215/GCA_024662215.1_ASM2466221v1,,assembly from type material,na
GCA_001190965.1,PRJNA285662,SAMN03755233,,representative genome,35746,35746,Haloferax gibbonsii,strain=ARA6,,latest,Complete Genome,Major,Full,03/08/2015,ASM119096v1,Universidade do Estado do Rio de Janeiro,GCF_001190965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/965/GCA_001190965.1_ASM119096v1,,,na
GCA_014969745.1,PRJNA656928,SAMN15808703,,na,35746,35746,Haloferax gibbonsii,strain=LR2-5,,latest,Complete Genome,Major,Full,27/10/2020,ASM1496974v1,Max-Planck-Institute of Biochemistry,GCF_014969745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/969/745/GCA_014969745.1_ASM1496974v1,,,na
GCA_002945325.1,PRJNA432904,SAMN08466362,,representative genome,39152,39152,Methanococcus maripaludis,strain=DSM 2067,,latest,Complete Genome,Major,Full,12/02/2018,ASM294532v1,Goettingen Genomics Laboratory,GCF_002945325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1,,assembly from type material,na
GCA_003052125.1,PRJNA378823,SAMN06562580,,na,39152,39152,Methanococcus maripaludis,strain=OS7mut1,,latest,Complete Genome,Major,Full,16/04/2018,ASM305212v1,Kagoshima University,GCF_003052125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/052/125/GCA_003052125.1_ASM305212v1,,,na
GCA_019669925.1,PRJDB8301,SAMD00171894,,representative genome,39441,39441,Methanobrevibacter arboriphilus,strain=SA,,latest,Complete Genome,Major,Full,02/06/2021,ASM1966992v1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",GCF_019669925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/669/925/GCA_019669925.1_ASM1966992v1,,,na
GCA_003201835.2,PRJNA463410,SAMN09071529,,representative genome,41673,41673,Acidianus brierleyi,strain=DSM 1651,,latest,Complete Genome,Major,Full,10/03/2020,ASM320183v2,North Carolina State University,GCF_003201835.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/835/GCA_003201835.2_ASM320183v2,,assembly from type material,na
GCA_009729035.1,PRJNA488459,SAMN09933091,,representative genome,41675,41675,Stygiolobus azoricus,strain=FC6,,latest,Complete Genome,Major,Full,04/12/2019,ASM972903v1,North Carolina State University,GCF_009729035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/035/GCA_009729035.1_ASM972903v1,,assembly from type material,na
GCA_025449255.1,PRJNA622823,SAMN30825808,,na,42879,42879,Methanococcus aeolicus,strain=PL15/HP,,latest,Complete Genome,Major,Full,28/09/2022,ASM2544925v1,NEB,GCF_025449255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/449/255/GCA_025449255.1_ASM2544925v1,,,na
GCA_028472005.1,PRJNA594311,SAMN13512551,,na,43080,43080,Sulfolobus islandicus,strain=HVE 10/4,,latest,Complete Genome,Major,Full,06/02/2023,ASM2847200v1,Wuhan Unverisity,GCF_028472005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/472/005/GCA_028472005.1_ASM2847200v1,,,na
GCA_001266655.1,PRJNA289697,SAMN03857118,,na,43687,43687,Metallosphaera sedula,strain=ARS50-1,,latest,Complete Genome,Major,Full,12/08/2015,ASM126665v1,University of Nebraska-Lincoln,GCF_001266655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1,,,na
GCA_001266675.1,PRJNA289701,SAMN03857124,,na,43687,43687,Metallosphaera sedula,strain=ARS50-2,,latest,Complete Genome,Major,Full,12/08/2015,ASM126667v1,University of Nebraska-Lincoln,GCF_001266675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1,,,na
GCA_001266695.1,PRJNA289698,SAMN03857129,,na,43687,43687,Metallosphaera sedula,strain=ARS120-1,,latest,Complete Genome,Major,Full,12/08/2015,ASM126669v1,University of Nebraska-Lincoln,GCF_001266695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1,,,na
GCA_001266715.1,PRJNA289699,SAMN03857133,,na,43687,43687,Metallosphaera sedula,strain=ARS120-2,,latest,Complete Genome,Major,Full,12/08/2015,ASM126671v1,University of Nebraska-Lincoln,GCF_001266715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1,,,na
GCA_001266735.1,PRJNA290374,SAMN03890864,,na,43687,43687,Metallosphaera sedula,strain=SARC-M1,,latest,Complete Genome,Major,Full,12/08/2015,ASM126673v1,University of Nebraska-Lincoln,GCF_001266735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1,,,na
GCA_023169565.1,PRJDB8408,SAMD00173596,,na,43687,43687,Metallosphaera sedula,strain=MJ1HA,,latest,Complete Genome,Major,Full,22/02/2022,ASM2316956v1,RIKEN,GCF_023169565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/169/565/GCA_023169565.1_ASM2316956v1,,,na
GCA_005222525.1,PRJNA463410,SAMN09071532,,representative genome,47304,47304,Metallosphaera prunae,strain=Ron 12/II,,latest,Complete Genome,Major,Full,07/05/2019,ASM522252v1,North Carolina State University,GCF_005222525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/525/GCA_005222525.1_ASM522252v1,,assembly from type material,na
GCA_002214585.1,PRJNA274230,SAMN03324163,,representative genome,49899,49899,Thermococcus profundus,strain=DT 5432,,latest,Complete Genome,Major,Full,05/07/2017,ASM221458v1,Ecole Normale Superieure de Lyon,GCF_002214585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/585/GCA_002214585.1_ASM221458v1,,assembly from type material,na
GCA_001592435.1,PRJNA274230,SAMN03324162,,representative genome,53952,53952,Thermococcus peptonophilus,strain=OG-1,,latest,Complete Genome,Major,Full,15/03/2016,ASM159243v1,Ecole Normale Superieure de Lyon,GCF_001592435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/435/GCA_001592435.1_ASM159243v1,,assembly from type material,na
GCA_002214465.1,PRJNA274230,SAMN03324153,,representative genome,54077,54077,Thermococcus barossii,strain=SHCK-94,,latest,Complete Genome,Major,Full,05/07/2017,ASM221446v1,Ecole Normale Superieure de Lyon,GCF_002214465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/465/GCA_002214465.1_ASM221446v1,,assembly from type material,na
GCA_014962245.1,PRJNA668939,SAMN16428067,,na,54254,54254,Thermosphaera aggregans,strain=3507,,latest,Complete Genome,Major,Full,27/10/2020,ASM1496224v1,"National Research Center ""Kurchatov Institute""",GCF_014962245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/962/245/GCA_014962245.1_ASM1496224v1,,,na
GCA_002214605.1,PRJNA274230,SAMN03324156,,na,54262,54262,Thermococcus chitonophagus,strain=GC74,,latest,Complete Genome,Major,Full,05/07/2017,ASM221460v1,Ecole Normale Superieure de Lyon,GCF_002214605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/605/GCA_002214605.1_ASM221460v1,,assembly from type material,na
GCA_900012635.1,PRJEB12305,SAMEA3721282,,representative genome,54262,54262,Thermococcus chitonophagus,,1,latest,Complete Genome,Major,Full,15/04/2016,Pyrococcus chitonophagus genome sequence,University of Athens,GCF_900012635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/635/GCA_900012635.1_Pyrococcus_chitonophagus_genome_sequence,,,na
GCA_001433455.1,PRJNA274261,SAMN03324231,,na,55802,55802,Thermococcus barophilus,strain=CH5,,latest,Complete Genome,Major,Full,05/11/2015,ASM143345v1,Ecole Normale Superieure de Lyon,GCF_001433455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/455/GCA_001433455.1_ASM143345v1,,,na
GCA_004803735.1,PRJNA531092,SAMN11349655,,na,57705,57705,Halomicrobium mukohataei,strain=JP60,,latest,Complete Genome,Major,Full,23/04/2019,ASM480373v1,Jiangsu University,GCF_004803735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/803/735/GCA_004803735.1_ASM480373v1,,,na
GCA_002813655.1,PRJNA349209,SAMN05928840,,na,59277,59277,Methanobacterium subterraneum,strain=MO-MB1,,latest,Complete Genome,Major,Full,07/12/2017,ASM281365v1,Japan Agency for Marine-Earth Science and technology,GCF_002813655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/655/GCA_002813655.1_ASM281365v1,,,na
GCA_002813695.1,PRJNA349209,SAMN05928842,,representative genome,59277,59277,Methanobacterium subterraneum,strain=A8p,,latest,Complete Genome,Major,Full,07/12/2017,ASM281369v1,Japan Agency for Marine-Earth Science and technology,GCF_002813695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/695/GCA_002813695.1_ASM281369v1,,assembly from type material,na
GCA_010692885.1,PRJNA605299,SAMN14053718,,na,60847,60847,Halogeometricum borinquense,strain=wsp4,,latest,Complete Genome,Major,Full,18/02/2020,ASM1069288v1,CSIR-Institue of Microbial Technology,GCF_010692885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/692/885/GCA_010692885.1_ASM1069288v1,,,na
GCA_011765365.1,PRJNA590870,SAMN13341696,,na,60847,60847,Halogeometricum borinquense,strain=wsp3,,latest,Complete Genome,Major,Full,29/03/2020,ASM1176536v1,CSIR-Institue of Microbial Technology,GCF_011765365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/765/365/GCA_011765365.1_ASM1176536v1,genome length too small,,na
GCA_004799645.1,PRJNA482706,SAMN09711300,,representative genome,61858,61858,Natronorubrum bangense,strain=JCM 10635,,latest,Complete Genome,Major,Full,18/04/2019,ASM479964v1,Wuhan University,GCF_004799645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/645/GCA_004799645.1_ASM479964v1,,assembly from type material,na
GCA_000006805.1,PRJNA412908,SAMN02604216,,na,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,,latest,Complete Genome,Major,Full,09/01/2001,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCF_000006805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,,,na
GCA_000009965.1,PRJNA13213,SAMD00061071,,representative genome,69014,311400,Thermococcus kodakarensis KOD1,strain=KOD1,,latest,Complete Genome,Major,Full,05/01/2005,ASM996v1,"Kyoto University, Japan",GCF_000009965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/965/GCA_000009965.1_ASM996v1,,assembly from type material,na
GCA_005890195.1,PRJNA412908,SAMN11840646,,representative genome,69527,69527,Natrinema pallidum,strain=BOL6-1,,latest,Complete Genome,Major,Full,30/05/2019,ASM589019v1,University of Maryland,GCF_005890195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/890/195/GCA_005890195.1_ASM589019v1,,,na
GCA_009729055.1,PRJNA488459,SAMN09933092,,representative genome,69656,69656,Sulfurisphaera ohwakuensis,strain=TA-1,,latest,Complete Genome,Major,Full,04/12/2019,ASM972905v1,North Carolina State University,GCF_009729055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/055/GCA_009729055.1_ASM972905v1,,assembly from type material,na
GCA_000011105.1,PRJNA207,SAMD00061090,,representative genome,70601,53953,Pyrococcus horikoshii OT3,strain=OT3,,latest,Complete Genome,Major,Full,11/05/2004,ASM1110v1,NITE,GCF_000011105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1,,assembly from type material,na
GCA_002214385.1,PRJNA274230,SAMN03324159,,representative genome,71997,71997,Thermococcus gorgonarius,strain=W-12,,latest,Complete Genome,Major,Full,05/07/2017,ASM221438v1,Ecole Normale Superieure de Lyon,GCF_002214385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/385/GCA_002214385.1_ASM221438v1,,assembly from type material,na
GCA_002214485.1,PRJNA274230,SAMN03324161,,representative genome,71998,71998,Thermococcus pacificus,strain=P-4,,latest,Complete Genome,Major,Full,05/07/2017,ASM221448v1,Ecole Normale Superieure de Lyon,GCF_002214485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/485/GCA_002214485.1_ASM221448v1,,assembly from type material,na
GCA_002214505.1,PRJNA274230,SAMN03324165,,representative genome,72803,72803,Thermococcus siculi,strain=RG-20,,latest,Complete Genome,Major,Full,05/07/2017,ASM221450v1,Ecole Normale Superieure de Lyon,GCF_002214505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/505/GCA_002214505.1_ASM221450v1,,assembly from type material,na
GCA_002078355.1,PRJNA316151,SAMN03952737,,representative genome,74969,74969,Ferroplasma acidiphilum,strain=Y,,latest,Complete Genome,Major,Full,04/04/2017,ASM207835v1,Max Planck Institute for Chemical Ecology,GCF_002078355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1,,assembly from type material,na
GCA_000145295.1,PRJNA40103,SAMN02603260,,representative genome,79929,145263,Methanothermobacter marburgensis str. Marburg,strain=Marburg,,latest,Complete Genome,Major,Full,11/08/2010,ASM14529v1,Georg-August-University Goettingen,GCF_000145295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/295/GCA_000145295.1_ASM14529v1,,assembly from type material,na
