assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_000385565.1,PRJNA196460,SAMN02028569,na,representative genome,387631,1316941,Archaeoglobus sulfaticallidus PM70-1,strain=PM70-1,na,latest,Complete Genome,Major,Full,30/04/2013,ASM38556v1,"University of Bergen, Centre for Geobiology, Department of Biology",GCF_000385565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/565/GCA_000385565.1_ASM38556v1,na,assembly from type material,na,haploid,archaea,2076931,2076931,43,1,1,1,"University of Bergen, Centre for Geobiology, Department of Biology","Annotation submitted by University of Bergen, Centre for Geobiology, Department of Biology",11/13/13,2288,2216,60,23833130,75,80.66,0.08693,0.07816,0.03756,0.00978,0.05407,0.08473,0.09237,0.06628,0.0373,0.05436,0.01118,0.01712,0.06853,0.01517,0.07715,0.02609,0.04581,0.03619,0.05857,0.04263,0,0,0,0,0,0,0
GCA_000194625.1,PRJNA51621,SAMN00713598,na,representative genome,693661,58290,Archaeoglobus veneficus SNP6,strain=SNP6,na,latest,Complete Genome,Major,Full,31/03/2011,ASM19462v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000194625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,na,assembly from type material,na,haploid,archaea,1901943,1901943,47,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),08/01/2012,2194,2090,49,na,75,84.44,0.07735,0.08603,0.0357,0.00995,0.05784,0.08697,0.0938,0.07839,0.03221,0.05043,0.01273,0.01751,0.07066,0.01625,0.07039,0.02512,0.0425,0.03864,0.05407,0.04345,0,0,0,0,0,0,0
GCA_000317795.1,PRJNA70815,SAMN02261426,na,representative genome,1056495,200415,Caldisphaera lagunensis DSM 15908,strain=DSM 15908,na,latest,Complete Genome,Major,Full,10/12/2012,ASM31779v1,JGI,GCF_000317795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/795/GCA_000317795.1_ASM31779v1,na,assembly from type material,na,haploid,archaea,1546846,1546846,30,1,1,1,JGI,Annotation submitted by JGI,06/25/15,1576,1478,50,na,75,66.19,0.10832,0.05998,0.04843,0.01009,0.03571,0.06681,0.09882,0.05689,0.06203,0.04847,0.00618,0.0196,0.06476,0.01229,0.08348,0.02362,0.04098,0.03971,0.07021,0.04362,0,0,0,0,0,0,0
GCA_000018305.1,PRJNA17421,SAMN00623034,na,representative genome,397948,76887,Caldivirga maquilingensis IC-167,strain=IC-167,na,latest,Complete Genome,Major,Full,05/10/2007,ASM1830v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000018305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,na,assembly from type material,na,haploid,archaea,2077567,2077567,43,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),12/11/2013,2045,1963,42,na,83,86.41,0.08073,0.08983,0.04395,0.0132,0.05664,0.05865,0.10676,0.07162,0.04638,0.04499,0.00652,0.01871,0.0756,0.01456,0.04964,0.02651,0.0329,0.04526,0.06684,0.05072,0,0,0,0,0,0,0
GCA_000020905.1,PRJNA28141,SAMN02603098,na,na,490899,94694,Desulfurococcus amylolyticus 1221n,strain=1221n,na,latest,Complete Genome,Major,Full,24/12/2008,ASM2090v1,Centre 'Bioengineering' RAS,GCF_000020905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/905/GCA_000020905.1_ASM2090v1,na,assembly from synonym type material,na,haploid,archaea,1365223,1365223,45,1,1,1,Centre 'Bioengineering' RAS,Annotation submitted by Centre 'Bioengineering' RAS,01/30/14,1523,1471,50,19114480,80,102.94,0.0851,0.08574,0.04547,0.01097,0.06192,0.07139,0.1068,0.06579,0.03462,0.04553,0.00738,0.01731,0.07383,0.01669,0.05799,0.0234,0.03262,0.0449,0.06468,0.04789,0,0,0,0,0,0,0
GCA_000231015.3,PRJNA49401,SAMN02232017,na,representative genome,768672,94694,Desulfurococcus amylolyticus DSM 16532,strain=DSM 16532,na,latest,Complete Genome,Major,Full,07/06/2012,ASM23101v3,DOE Joint Genome Institute,GCF_000231015.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/015/GCA_000231015.3_ASM23101v3,na,assembly from synonym type material,na,haploid,archaea,1384116,1384116,44.5,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,06/25/15,1522,1421,51,23012283,80,103.85,0.08665,0.08523,0.04572,0.01081,0.06076,0.07081,0.10837,0.06532,0.03482,0.04494,0.00747,0.01715,0.07382,0.01687,0.05759,0.02336,0.03271,0.04467,0.06463,0.04832,0,0,0,0,0,0,0
GCA_000186365.1,PRJNA48641,SAMN00103627,na,representative genome,765177,2275,Desulfurococcus mucosus DSM 2162,strain=DSM 2162,na,latest,Complete Genome,Major,Full,20/01/2011,ASM18636v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000186365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,na,assembly from type material,na,haploid,archaea,1314639,1314639,53,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),06/25/15,1421,1345,50,21677854,87,100.01,0.06219,0.09793,0.04268,0.01138,0.06979,0.07086,0.10943,0.07971,0.0264,0.04478,0.00737,0.01677,0.08197,0.01757,0.04856,0.02324,0.03154,0.04701,0.06387,0.04696,0,0,0,0,0,0,0
GCA_000025505.1,PRJNA33635,SAMN02598503,na,representative genome,589924,54261,Ferroglobus placidus DSM 10642,strain=DSM 10642,na,latest,Complete Genome,Major,Full,16/02/2010,ASM2550v1,US DOE Joint Genome Institute,GCF_000025505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,na,assembly from type material,na,haploid,archaea,2196266,2196266,44,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,2622,2480,55,22180810,85,90.19,0.07695,0.08577,0.03821,0.0104,0.05278,0.09527,0.0944,0.07062,0.0339,0.04756,0.01127,0.01497,0.06718,0.01484,0.08447,0.022,0.04767,0.03683,0.05526,0.03965,0,0,0,0,0,0,0
GCA_002078355.1,PRJNA316151,SAMN03952737,na,representative genome,74969,74969,Ferroplasma acidiphilum,strain=Y,na,latest,Complete Genome,Major,Full,04/04/2017,ASM207835v1,Max Planck Institute for Chemical Ecology,GCF_002078355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1,na,assembly from type material,na,haploid,archaea,1826943,1826943,36,1,1,1,Max Planck Institute for Chemical Ecology,Annotation submitted by Max Planck Institute for Chemical Ecology,04/04/2017,1861,1763,62,na,35,45.29,0.10112,0.06064,0.04973,0.00739,0.03891,0.06131,0.08675,0.05996,0.05972,0.05433,0.0058,0.01879,0.06884,0.01595,0.07468,0.03037,0.04736,0.03472,0.07346,0.05017,0,0,0,0,0,0,0
GCA_000258425.1,PRJNA91117,SAMN02603095,na,representative genome,1163730,683846,Fervidicoccus fontis Kam940,strain=Kam940,na,latest,Complete Genome,Major,Full,10/04/2012,ASM25842v1,Centre Bioengineering RAS,GCF_000258425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/425/GCA_000258425.1_ASM25842v1,na,assembly from type material,na,haploid,archaea,1319206,1319206,37,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,04/17/14,1439,1385,45,24366681,80,74.89,0.09677,0.06701,0.04207,0.00953,0.04416,0.07752,0.10039,0.06091,0.04397,0.04441,0.00717,0.01924,0.0667,0.01304,0.08224,0.02429,0.04418,0.03896,0.07464,0.04281,0,0,0,0,0,0,0
GCA_000789255.1,PRJNA261279,SAMN03070125,na,na,565033,565033,Geoglobus acetivorans,strain=SBH6,na,latest,Complete Genome,Major,Full,04/12/2014,ASM78925v1,Centre Bioengineering RAS,GCF_000789255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/255/GCA_000789255.1_ASM78925v1,unverified source organism; not used as type,na,na,haploid,archaea,1860815,1860815,46.5,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,12/04/2014,2274,2218,50,25416759,80,83.81,0.07879,0.08171,0.03729,0.00984,0.06054,0.08679,0.09201,0.07243,0.03443,0.05351,0.00968,0.01753,0.07311,0.01679,0.06633,0.02616,0.0452,0.03745,0.057,0.04341,0,0,0,0,0,0,0
GCA_001006045.1,PRJNA258102,SAMN02988852,na,representative genome,113653,113653,Geoglobus ahangari,strain=234,na,latest,Complete Genome,Major,Full,11/05/2015,ASM100604v1,Michigan State University,GCF_001006045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,na,assembly from type material,na,haploid,archaea,1770093,1770093,53,1,1,1,Michigan State University,Annotation submitted by Michigan State University,05/11/2015,2072,1973,52,na,85,94.72,0.07187,0.09017,0.03716,0.00965,0.06701,0.08964,0.09311,0.07421,0.03067,0.05129,0.00978,0.01661,0.07444,0.0167,0.05935,0.02653,0.04411,0.03793,0.05795,0.0418,0,0,0,0,0,0,0
GCA_000196895.1,PRJNA49517,SAMN02603490,na,representative genome,795797,413810,Halalkalicoccus jeotgali B3,strain=B3,na,latest,Complete Genome,Major,Full,23/06/2010,ASM19689v1,Kyung Hee University,GCF_000196895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,na,assembly from type material,na,haploid,archaea,3698650,3698650,62.5,7,7,7,Kyung Hee University,Annotation submitted by Kyung Hee University,06/25/15,3922,3873,49,20601480,37,60,0.04694,0.08468,0.02814,0.01154,0.06684,0.09172,0.0917,0.10446,0.02381,0.07405,0.00772,0.02381,0.08758,0.0203,0.01905,0.01908,0.03416,0.04677,0.05531,0.06234,0,0,0,0,1.00E-05,0,0
GCA_030345255.1,PRJNA983580,SAMN35731342,na,na,2242,2242,Halobacterium salinarum,strain=KBTZ01,na,latest,Complete Genome,Major,Full,26/06/2023,ASM3034525v1,Nazarbayev University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/345/255/GCA_030345255.1_ASM3034525v1,na,na,na,haploid,archaea,2363860,2363860,66.5,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/20/23,2600,2277,52,na,37,24.7,0.03691,0.09429,0.0257,0.01096,0.06385,0.06804,0.08415,0.12815,0.02226,0.08942,0.00722,0.02702,0.08379,0.02219,0.0169,0.01736,0.03108,0.04666,0.05437,0.06969,0,0,0,0,0,0,0
GCA_000069025.1,PRJNA106,SAMEA3138275,na,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,na,latest,Complete Genome,Major,Full,12/02/2008,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,na,na,na,haploid,archaea,2668776,2668776,65.5,5,5,5,Max Planck Institute,Annotation submitted by Max Planck Institute,02/02/2017,3050,2704,52,18313895,37,30.77,0.03794,0.093,0.02642,0.01105,0.06474,0.07089,0.08633,0.12429,0.02246,0.08938,0.00745,0.02805,0.08164,0.02207,0.01774,0.01677,0.03137,0.04587,0.05402,0.06851,0,0,0,0,0,0,0
GCA_000022205.1,PRJNA412908,SAMN02598407,na,representative genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,na,latest,Complete Genome,Major,Full,04/02/2009,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,na,assembly from type material,na,haploid,archaea,3692576,3692576,63.5,3,3,3,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),03/01/2021,3726,3560,61,29189043;23536799;31463573;23320757;29109294;27617060,30,46.04,0.04227,0.08788,0.02699,0.01123,0.06675,0.08481,0.08673,0.11035,0.0246,0.08827,0.00716,0.02364,0.08545,0.01975,0.02,0.01664,0.03274,0.04647,0.05532,0.06295,0,0,0,0,0,0,0
GCA_000306765.2,PRJNA43185,SAMN02603397,na,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,na,latest,Complete Genome,Major,Full,27/05/2014,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCF_000306765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,na,assembly from type material,na,haploid,archaea,3904707,3904707,60,4,4,4,"Institute of Microbiology, Chinese Academy of Sciences","Annotation submitted by Institute of Microbiology, Chinese Academy of Sciences",07/26/16,3934,3828,64,22843593;22247127,36,44.31,0.04383,0.09011,0.02689,0.01119,0.06173,0.08272,0.08835,0.10003,0.02677,0.08231,0.00707,0.02587,0.08283,0.02066,0.02268,0.01812,0.0353,0.04553,0.06124,0.06678,0,0,0,0,0,0,0
GCA_005406325.1,PRJNA412908,SAMN11356524,na,representative genome,523841,2252,Haloferax mediterranei ATCC 33500,strain=ATCC 33500,na,latest,Complete Genome,Major,Full,16/05/2019,ASM540632v1,University of Maryland,GCF_005406325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/406/325/GCA_005406325.1_ASM540632v1,na,assembly from type material,na,haploid,archaea,3907473,3907473,60,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,04/10/2019,3895,3741,63,31270201,36,45.03,0.04422,0.09043,0.02704,0.01127,0.06135,0.08221,0.08907,0.1003,0.02679,0.08172,0.00679,0.02592,0.08305,0.02046,0.02278,0.01806,0.03541,0.04534,0.06101,0.06679,0,0,0,0,0,0,0
GCA_000025685.1,PRJNA12524,SAMN02604027,na,representative genome,309800,2246,Haloferax volcanii DS2,strain=DS2,na,latest,Complete Genome,Major,Full,23/03/2010,ASM2568v1,TIGR,GCF_000025685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,na,assembly from type material,na,haploid,archaea,4012900,4012900,65,5,5,5,TIGR,Annotation submitted by TIGR,06/04/2021,4157,3927,62,20333302,35,45.47,0.03856,0.09215,0.02698,0.01126,0.06626,0.08,0.09086,0.11066,0.02386,0.08461,0.00704,0.02391,0.08515,0.01972,0.02012,0.01791,0.03492,0.04583,0.05827,0.06194,0,0,0,0,0,0,0
GCA_010692905.1,PRJNA605089,SAMN14048689,na,representative genome,114529,114529,Haloferax alexandrinus,strain=wsp1,na,latest,Complete Genome,Major,Full,18/02/2020,ASM1069290v1,CSIR-Institue of Microbial Technology,GCF_010692905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/692/905/GCA_010692905.1_ASM1069290v1,na,na,na,haploid,archaea,3706983,3706983,66,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/11/2020,3702,3588,60,na,37,44.88,0.03785,0.0937,0.02632,0.01108,0.06591,0.08027,0.09029,0.11263,0.02337,0.08574,0.00673,0.02324,0.08592,0.01934,0.01945,0.01776,0.03475,0.04602,0.0577,0.06192,0,0,0,0,0,0,0
GCA_000172995.2,PRJNA20743,SAMN00002580,na,representative genome,469382,60847,Halogeometricum borinquense DSM 11551,strain=PR 3,na,latest,Complete Genome,Major,Full,22/11/2010,ASM17299v2,US DOE Joint Genome Institute (JGI-PGF),GCF_000172995.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2,na,assembly from type material,na,haploid,archaea,3944467,3944467,59.5,6,6,6,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/17/15,3993,3898,57,21304651,37,43.9,0.04267,0.08928,0.02727,0.0113,0.06325,0.08341,0.08719,0.10202,0.02715,0.08153,0.007,0.02677,0.08141,0.02027,0.02257,0.01811,0.03476,0.0449,0.06168,0.06746,0,0,0,0,0,0,0
GCA_002788215.1,PRJNA53493,SAMN00117514,na,representative genome,1073996,1073996,Halohasta litchfieldiae,strain=tADL,na,latest,Complete Genome,Major,Full,20/11/2017,ASM278821v1,JGI-PSF,GCF_002788215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/788/215/GCA_002788215.1_ASM278821v1,na,assembly from type material,na,haploid,archaea,3332022,3332022,58.5,1,1,1,JGI-PSF,Annotation submitted by JGI-PSF,05/18/18,3520,3343,55,na,28,44.25,0.04998,0.08357,0.02709,0.01096,0.05944,0.08422,0.0895,0.09758,0.02679,0.08247,0.00769,0.03142,0.07938,0.02023,0.02264,0.01768,0.0331,0.04479,0.06235,0.06913,0,0,0,0,0,0,0
GCA_000217715.1,PRJNA56049,SAMN02232028,na,representative genome,797210,387343,Halopiger xanaduensis SH-6,strain=SH-6,na,latest,Complete Genome,Major,Full,09/06/2011,ASM21771v1,US DOE Joint Genome Institute,GCF_000217715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/715/GCA_000217715.1_ASM21771v1,na,assembly from type material,na,haploid,archaea,4355268,4355268,65,4,4,4,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,07/25/16,4370,4221,60,22675596,37,53.93,0.04282,0.08517,0.02765,0.01153,0.06545,0.09437,0.0881,0.10763,0.02384,0.08802,0.00731,0.02506,0.08299,0.01924,0.01717,0.01706,0.03217,0.04664,0.05523,0.06255,0,0,0,0,0,0,0
