assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT
GCA_000385565.1,PRJNA196460,SAMN02028569,na,representative genome,387631,1316941,Archaeoglobus sulfaticallidus PM70-1,strain=PM70-1,na,latest,Complete Genome,Major,Full,30/04/2013,ASM38556v1,"University of Bergen, Centre for Geobiology, Department of Biology",GCF_000385565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/565/GCA_000385565.1_ASM38556v1,na,assembly from type material,na,haploid,archaea,2076931,2076931,43,1,1,1,"University of Bergen, Centre for Geobiology, Department of Biology","Annotation submitted by University of Bergen, Centre for Geobiology, Department of Biology",11/13/13,2288,2216,60,23833130,75,80.66
GCA_000194625.1,PRJNA51621,SAMN00713598,na,representative genome,693661,58290,Archaeoglobus veneficus SNP6,strain=SNP6,na,latest,Complete Genome,Major,Full,31/03/2011,ASM19462v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000194625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,na,assembly from type material,na,haploid,archaea,1901943,1901943,47,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),08/01/2012,2194,2090,49,na,75,84.44
GCA_000317795.1,PRJNA70815,SAMN02261426,na,representative genome,1056495,200415,Caldisphaera lagunensis DSM 15908,strain=DSM 15908,na,latest,Complete Genome,Major,Full,10/12/2012,ASM31779v1,JGI,GCF_000317795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/795/GCA_000317795.1_ASM31779v1,na,assembly from type material,na,haploid,archaea,1546846,1546846,30,1,1,1,JGI,Annotation submitted by JGI,06/25/15,1576,1478,50,na,75,66.19
GCA_000018305.1,PRJNA17421,SAMN00623034,na,representative genome,397948,76887,Caldivirga maquilingensis IC-167,strain=IC-167,na,latest,Complete Genome,Major,Full,05/10/2007,ASM1830v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000018305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,na,assembly from type material,na,haploid,archaea,2077567,2077567,43,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),12/11/2013,2045,1963,42,na,83,86.41
GCA_000020905.1,PRJNA28141,SAMN02603098,na,na,490899,94694,Desulfurococcus amylolyticus 1221n,strain=1221n,na,latest,Complete Genome,Major,Full,24/12/2008,ASM2090v1,Centre 'Bioengineering' RAS,GCF_000020905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/905/GCA_000020905.1_ASM2090v1,na,assembly from synonym type material,na,haploid,archaea,1365223,1365223,45,1,1,1,Centre 'Bioengineering' RAS,Annotation submitted by Centre 'Bioengineering' RAS,01/30/14,1523,1471,50,19114480,80,102.94
GCA_000231015.3,PRJNA49401,SAMN02232017,na,representative genome,768672,94694,Desulfurococcus amylolyticus DSM 16532,strain=DSM 16532,na,latest,Complete Genome,Major,Full,07/06/2012,ASM23101v3,DOE Joint Genome Institute,GCF_000231015.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/015/GCA_000231015.3_ASM23101v3,na,assembly from synonym type material,na,haploid,archaea,1384116,1384116,44.5,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,06/25/15,1522,1421,51,23012283,80,103.85
GCA_000186365.1,PRJNA48641,SAMN00103627,na,representative genome,765177,2275,Desulfurococcus mucosus DSM 2162,strain=DSM 2162,na,latest,Complete Genome,Major,Full,20/01/2011,ASM18636v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000186365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,na,assembly from type material,na,haploid,archaea,1314639,1314639,53,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),06/25/15,1421,1345,50,21677854,87,100.01
GCA_000025505.1,PRJNA33635,SAMN02598503,na,representative genome,589924,54261,Ferroglobus placidus DSM 10642,strain=DSM 10642,na,latest,Complete Genome,Major,Full,16/02/2010,ASM2550v1,US DOE Joint Genome Institute,GCF_000025505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,na,assembly from type material,na,haploid,archaea,2196266,2196266,44,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,2622,2480,55,22180810,85,90.19
GCA_002078355.1,PRJNA316151,SAMN03952737,na,representative genome,74969,74969,Ferroplasma acidiphilum,strain=Y,na,latest,Complete Genome,Major,Full,04/04/2017,ASM207835v1,Max Planck Institute for Chemical Ecology,GCF_002078355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1,na,assembly from type material,na,haploid,archaea,1826943,1826943,36,1,1,1,Max Planck Institute for Chemical Ecology,Annotation submitted by Max Planck Institute for Chemical Ecology,04/04/2017,1861,1763,62,na,35,45.29
GCA_000258425.1,PRJNA91117,SAMN02603095,na,representative genome,1163730,683846,Fervidicoccus fontis Kam940,strain=Kam940,na,latest,Complete Genome,Major,Full,10/04/2012,ASM25842v1,Centre Bioengineering RAS,GCF_000258425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/425/GCA_000258425.1_ASM25842v1,na,assembly from type material,na,haploid,archaea,1319206,1319206,37,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,04/17/14,1439,1385,45,24366681,80,74.89
GCA_000789255.1,PRJNA261279,SAMN03070125,na,na,565033,565033,Geoglobus acetivorans,strain=SBH6,na,latest,Complete Genome,Major,Full,04/12/2014,ASM78925v1,Centre Bioengineering RAS,GCF_000789255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/255/GCA_000789255.1_ASM78925v1,unverified source organism; not used as type,na,na,haploid,archaea,1860815,1860815,46.5,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,12/04/2014,2274,2218,50,25416759,80,83.81
GCA_001006045.1,PRJNA258102,SAMN02988852,na,representative genome,113653,113653,Geoglobus ahangari,strain=234,na,latest,Complete Genome,Major,Full,11/05/2015,ASM100604v1,Michigan State University,GCF_001006045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,na,assembly from type material,na,haploid,archaea,1770093,1770093,53,1,1,1,Michigan State University,Annotation submitted by Michigan State University,05/11/2015,2072,1973,52,na,85,94.72
GCA_000196895.1,PRJNA49517,SAMN02603490,na,representative genome,795797,413810,Halalkalicoccus jeotgali B3,strain=B3,na,latest,Complete Genome,Major,Full,23/06/2010,ASM19689v1,Kyung Hee University,GCF_000196895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,na,assembly from type material,na,haploid,archaea,3698650,3698650,62.5,7,7,7,Kyung Hee University,Annotation submitted by Kyung Hee University,06/25/15,3922,3873,49,20601480,37,60
GCA_000223905.1,PRJNA68523,SAMN02602960,na,na,634497,51589,Haloarcula hispanica ATCC 33960,strain=CGMCC 1.2049,na,latest,Complete Genome,Major,Full,17/08/2011,ASM22390v1," Institute of Microbiology, Chinese Academy of Sciences",GCF_000223905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,na,assembly from type material,na,haploid,archaea,3890005,3890005,62,3,3,3," Institute of Microbiology, Chinese Academy of Sciences","Annotation submitted by  Institute of Microbiology, Chinese Academy of Sciences",07/25/16,3924,3859,60,21994921,37,40.64
GCA_000504565.2,PRJNA227070,SAMN02393367,na,na,1417673,51589,Haloarcula hispanica N601,strain=N601,na,latest,Complete Genome,Major,Full,09/01/2014,ASM50456v2,"Academia Sinica, Taipei, Taiwan",GCF_000504565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2,na,na,na,haploid,archaea,3901495,3901495,62,4,4,4,"Academia Sinica, Taipei, Taiwan","Annotation submitted by Academia Sinica, Taipei, Taiwan",11/18/13,4014,3932,60,24625874,37,40.48
GCA_000011085.1,PRJNA105,SAMN02603385,na,representative genome,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,02/11/2004,ASM1108v1,Institute for Systems Biology,GCF_000011085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,na,assembly from type material,na,haploid,archaea,4274642,4274642,61,9,9,9,Institute for Systems Biology,Annotation submitted by Institute for Systems Biology,08/29/18,4301,4240,61,15520287,37,39.03
GCA_005310945.1,PRJNA412908,SAMN11356379,na,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,14/05/2019,ASM531094v1,University of Maryland,GCF_005310945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/310/945/GCA_005310945.1_ASM531094v1,na,assembly from type material,na,haploid,archaea,4184924,4184924,61,7,7,7,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,04/10/2019,4236,4033,61,31270201,37,40.14
GCA_004803735.1,PRJNA531092,SAMN11349655,na,na,57705,57705,Halomicrobium mukohataei,strain=JP60,na,latest,Complete Genome,Major,Full,23/04/2019,ASM480373v1,Jiangsu University,GCF_004803735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/803/735/GCA_004803735.1_ASM480373v1,na,na,na,haploid,archaea,3316057,3316057,65.5,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),04/16/19,3363,3215,56,na,37,47.3
GCA_000023965.1,PRJNA27945,SAMN00002610,na,representative genome,485914,57705,Halomicrobium mukohataei DSM 12286,strain=DSM 12286,na,latest,Complete Genome,Major,Full,03/09/2009,ASM2396v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,na,assembly from type material,na,haploid,archaea,3332349,3332349,65.5,2,2,2,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/24/16,3475,3349,60,21304667,37,46.94
GCA_004799605.1,PRJNA530823,SAMN11158145,na,representative genome,2242,2242,Halobacterium salinarum,strain=91-R6,na,latest,Complete Genome,Major,Full,18/04/2019,ASM479960v1,Max-Planck-Institute of Biochemistry,GCF_004799605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/605/GCA_004799605.1_ASM479960v1,na,assembly from type material,na,haploid,archaea,2429680,2429680,66,3,3,3,Max-Planck-Institute of Biochemistry,Annotation submitted by Max-Planck-Institute of Biochemistry,03/29/21,2677,2451,53,31296677;31797576,37,28.79
GCA_030345255.1,PRJNA983580,SAMN35731342,na,na,2242,2242,Halobacterium salinarum,strain=KBTZ01,na,latest,Complete Genome,Major,Full,26/06/2023,ASM3034525v1,Nazarbayev University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/345/255/GCA_030345255.1_ASM3034525v1,na,na,na,haploid,archaea,2363860,2363860,66.5,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/20/23,2600,2277,52,na,37,24.7
GCA_000006805.1,PRJNA412908,SAMN02604216,na,na,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,na,latest,Complete Genome,Major,Full,09/01/2001,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCF_000006805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,na,na,na,haploid,archaea,2571010,2571010,65.5,3,3,3,"University of Massachusetts-Amherst, University of Washington","Annotation submitted by University of Massachusetts-Amherst, University of Washington",03/01/2021,2509,2457,52,1864501;1398080;2552415;3448465;9847077;2050644;11016950;8335618;8002589;8335077;8423144,37,29.41
GCA_000069025.1,PRJNA106,SAMEA3138275,na,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,na,latest,Complete Genome,Major,Full,12/02/2008,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,na,na,na,haploid,archaea,2668776,2668776,65.5,5,5,5,Max Planck Institute,Annotation submitted by Max Planck Institute,02/02/2017,3050,2704,52,18313895,37,30.77
GCA_020736485.1,PRJNA412908,SAMN22513565,na,na,2886895,2242,Halobacterium salinarum NRC-34001,strain=NRC-34001,na,latest,Complete Genome,Major,Full,03/11/2021,ASM2073648v1,University of Maryland,GCF_020736485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/736/485/GCA_020736485.1_ASM2073648v1,na,assembly from synonym type material,na,haploid,archaea,2291038,2291038,66.5,3,3,3,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),10/28/21,2428,2341,52,na,37,27.04
GCA_000022205.1,PRJNA412908,SAMN02598407,na,representative genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,na,latest,Complete Genome,Major,Full,04/02/2009,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,na,assembly from type material,na,haploid,archaea,3692576,3692576,63.5,3,3,3,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),03/01/2021,3726,3560,61,29189043;23536799;31463573;23320757;29109294;27617060,30,46.04
GCA_000306765.2,PRJNA43185,SAMN02603397,na,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,na,latest,Complete Genome,Major,Full,27/05/2014,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCF_000306765.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,na,assembly from type material,na,haploid,archaea,3904707,3904707,60,4,4,4,"Institute of Microbiology, Chinese Academy of Sciences","Annotation submitted by Institute of Microbiology, Chinese Academy of Sciences",07/26/16,3934,3828,64,22843593;22247127,36,44.31
GCA_005406325.1,PRJNA412908,SAMN11356524,na,representative genome,523841,2252,Haloferax mediterranei ATCC 33500,strain=ATCC 33500,na,latest,Complete Genome,Major,Full,16/05/2019,ASM540632v1,University of Maryland,GCF_005406325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/406/325/GCA_005406325.1_ASM540632v1,na,assembly from type material,na,haploid,archaea,3907473,3907473,60,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,04/10/2019,3895,3741,63,31270201,36,45.03
GCA_021233435.1,PRJNA787377,SAMN23798384,na,representative genome,223182,223182,Halobacterium noricense,strain=JCM 15102,na,latest,Complete Genome,Major,Full,20/12/2021,ASM2123343v1,Jiangsu University,GCF_021233435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/233/435/GCA_021233435.1_ASM2123343v1,na,assembly from type material,na,haploid,archaea,3316796,3316796,64.5,3,3,3,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/13/21,3540,3397,54,na,37,45.56
GCA_000026045.1,PRJNA15742,SAMEA3138222,na,representative genome,348780,2257,Natronomonas pharaonis DSM 2160,strain=Gabara,na,latest,Complete Genome,Major,Full,28/09/2005,ASM2604v1,Max Planck Institute,GCF_000026045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/045/GCA_000026045.1_ASM2604v1,na,assembly from type material,na,haploid,archaea,2749696,2749696,63,3,3,3,Max Planck Institute,Annotation submitted by Max Planck Institute,02/01/2017,3028,2802,51,16169924,37,47.1
GCA_000025685.1,PRJNA12524,SAMN02604027,na,representative genome,309800,2246,Haloferax volcanii DS2,strain=DS2,na,latest,Complete Genome,Major,Full,23/03/2010,ASM2568v1,TIGR,GCF_000025685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,na,assembly from type material,na,haploid,archaea,4012900,4012900,65,5,5,5,TIGR,Annotation submitted by TIGR,06/04/2021,4157,3927,62,20333302,35,45.47
GCA_022870485.1,PRJNA822675,SAMN27257334,na,representative genome,179637,179637,Halococcus dombrowskii,strain=H4,na,latest,Complete Genome,Major,Full,11/04/2022,ASM2287048v1,MacLea Lab & Binomica Labs collaboration,GCF_022870485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/485/GCA_022870485.1_ASM2287048v1,na,assembly from type material,na,haploid,archaea,3965466,3965466,62,6,6,6,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),04/05/2022,4029,3841,66,na,37,46.18
GCA_000025325.1,PRJNA30411,SAMN02598471,na,representative genome,543526,62320,Haloterrigena turkmenica DSM 5511,strain=DSM 5511,na,latest,Complete Genome,Major,Full,19/01/2010,ASM2532v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1,na,assembly from type material,na,haploid,archaea,5440782,5440782,64,7,7,7,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/25/16,5351,5113,64,21304683,37,53.7
GCA_010692905.1,PRJNA605089,SAMN14048689,na,representative genome,114529,114529,Haloferax alexandrinus,strain=wsp1,na,latest,Complete Genome,Major,Full,18/02/2020,ASM1069290v1,CSIR-Institue of Microbial Technology,GCF_010692905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/692/905/GCA_010692905.1_ASM1069290v1,na,na,na,haploid,archaea,3706983,3706983,66,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/11/2020,3702,3588,60,na,37,44.88
GCA_029232225.1,PRJNA865582,SAMN30631033,na,na,114529,114529,Haloferax alexandrinus,strain=BNX82,na,latest,Complete Genome,Major,Full,17/03/2023,ASM2923222v1,Consiglio nazionale delle ricerche,GCF_029232225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/232/225/GCA_029232225.1_ASM2923222v1,na,na,na,haploid,archaea,3920955,3920955,65.5,5,5,5,Consiglio nazionale delle ricerche,Annotation submitted by Consiglio nazionale delle ricerche,03/17/23,3043,2981,62,na,37,44.09
GCA_001190965.1,PRJNA285662,SAMN03755233,na,representative genome,35746,35746,Haloferax gibbonsii,strain=ARA6,na,latest,Complete Genome,Major,Full,03/08/2015,ASM119096v1,Universidade do Estado do Rio de Janeiro,GCF_001190965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/965/GCA_001190965.1_ASM119096v1,na,na,na,haploid,archaea,3918454,3918454,66,5,5,5,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,06/29/15,3797,3704,62,na,37,44.9
GCA_014969745.1,PRJNA656928,SAMN15808703,na,na,35746,35746,Haloferax gibbonsii,strain=LR2-5,na,latest,Complete Genome,Major,Full,27/10/2020,ASM1496974v1,Max-Planck-Institute of Biochemistry,GCF_014969745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/969/745/GCA_014969745.1_ASM1496974v1,na,na,na,haploid,archaea,3996244,3996244,65.5,4,4,4,Max-Planck-Institute of Biochemistry,Annotation submitted by Max-Planck-Institute of Biochemistry,03/29/21,4140,3988,65,33664716,37,44.58
GCA_024730625.1,PRJNA742554,SAMN19967896,na,representative genome,302484,302484,Haloferax larsenii,strain=NCIM 5678,na,latest,Complete Genome,Major,Full,22/08/2022,ASM2473062v1,Indian Institute of Technology Delhi,GCF_024730625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/730/625/GCA_024730625.1_ASM2473062v1,na,na,na,haploid,archaea,3720723,3720723,62,3,3,3,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/06/2021,3766,3668,63,na,37,44.04
GCA_029225785.1,PRJNA865582,SAMN30630946,na,representative genome,2254,2254,Haloferax lucentense,strain=SVX82,na,latest,Complete Genome,Major,Full,16/03/2023,ASM2922578v1,Consiglio nazionale delle ricerche,GCF_029225785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/225/785/GCA_029225785.1_ASM2922578v1,na,na,na,haploid,archaea,3784795,3784795,65.5,4,4,4,Consiglio nazionale delle ricerche,Annotation submitted by Consiglio nazionale delle ricerche,03/16/23,3859,3798,61,na,37,44.9
