assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_000385565.1,PRJNA196460,SAMN02028569,na,representative genome,387631,1316941,Archaeoglobus sulfaticallidus PM70-1,strain=PM70-1,na,latest,Complete Genome,Major,Full,30/04/2013,ASM38556v1,"University of Bergen, Centre for Geobiology, Department of Biology",GCF_000385565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/565/GCA_000385565.1_ASM38556v1,na,assembly from type material,na,haploid,archaea,2076931,2076931,43,1,1,1,"University of Bergen, Centre for Geobiology, Department of Biology","Annotation submitted by University of Bergen, Centre for Geobiology, Department of Biology",11/13/13,2288,2216,60,23833130,75,80.66,0.08693,0.07816,0.03756,0.00978,0.05407,0.08473,0.09237,0.06628,0.0373,0.05436,0.01118,0.01712,0.06853,0.01517,0.07715,0.02609,0.04581,0.03619,0.05857,0.04263,0,0,0,0,0,0,0
GCA_000194625.1,PRJNA51621,SAMN00713598,na,representative genome,693661,58290,Archaeoglobus veneficus SNP6,strain=SNP6,na,latest,Complete Genome,Major,Full,31/03/2011,ASM19462v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000194625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1,na,assembly from type material,na,haploid,archaea,1901943,1901943,47,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),08/01/2012,2194,2090,49,na,75,84.44,0.07735,0.08603,0.0357,0.00995,0.05784,0.08697,0.0938,0.07839,0.03221,0.05043,0.01273,0.01751,0.07066,0.01625,0.07039,0.02512,0.0425,0.03864,0.05407,0.04345,0,0,0,0,0,0,0
GCA_000317795.1,PRJNA70815,SAMN02261426,na,representative genome,1056495,200415,Caldisphaera lagunensis DSM 15908,strain=DSM 15908,na,latest,Complete Genome,Major,Full,10/12/2012,ASM31779v1,JGI,GCF_000317795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/795/GCA_000317795.1_ASM31779v1,na,assembly from type material,na,haploid,archaea,1546846,1546846,30,1,1,1,JGI,Annotation submitted by JGI,06/25/15,1576,1478,50,na,75,66.19,0.10832,0.05998,0.04843,0.01009,0.03571,0.06681,0.09882,0.05689,0.06203,0.04847,0.00618,0.0196,0.06476,0.01229,0.08348,0.02362,0.04098,0.03971,0.07021,0.04362,0,0,0,0,0,0,0
GCA_000018305.1,PRJNA17421,SAMN00623034,na,representative genome,397948,76887,Caldivirga maquilingensis IC-167,strain=IC-167,na,latest,Complete Genome,Major,Full,05/10/2007,ASM1830v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000018305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1,na,assembly from type material,na,haploid,archaea,2077567,2077567,43,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),12/11/2013,2045,1963,42,na,83,86.41,0.08073,0.08983,0.04395,0.0132,0.05664,0.05865,0.10676,0.07162,0.04638,0.04499,0.00652,0.01871,0.0756,0.01456,0.04964,0.02651,0.0329,0.04526,0.06684,0.05072,0,0,0,0,0,0,0
GCA_000020905.1,PRJNA28141,SAMN02603098,na,na,490899,94694,Desulfurococcus amylolyticus 1221n,strain=1221n,na,latest,Complete Genome,Major,Full,24/12/2008,ASM2090v1,Centre 'Bioengineering' RAS,GCF_000020905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/905/GCA_000020905.1_ASM2090v1,na,assembly from synonym type material,na,haploid,archaea,1365223,1365223,45,1,1,1,Centre 'Bioengineering' RAS,Annotation submitted by Centre 'Bioengineering' RAS,01/30/14,1523,1471,50,19114480,80,102.94,0.0851,0.08574,0.04547,0.01097,0.06192,0.07139,0.1068,0.06579,0.03462,0.04553,0.00738,0.01731,0.07383,0.01669,0.05799,0.0234,0.03262,0.0449,0.06468,0.04789,0,0,0,0,0,0,0
GCA_000231015.3,PRJNA49401,SAMN02232017,na,representative genome,768672,94694,Desulfurococcus amylolyticus DSM 16532,strain=DSM 16532,na,latest,Complete Genome,Major,Full,07/06/2012,ASM23101v3,DOE Joint Genome Institute,GCF_000231015.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/015/GCA_000231015.3_ASM23101v3,na,assembly from synonym type material,na,haploid,archaea,1384116,1384116,44.5,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,06/25/15,1522,1421,51,23012283,80,103.85,0.08665,0.08523,0.04572,0.01081,0.06076,0.07081,0.10837,0.06532,0.03482,0.04494,0.00747,0.01715,0.07382,0.01687,0.05759,0.02336,0.03271,0.04467,0.06463,0.04832,0,0,0,0,0,0,0
GCA_000186365.1,PRJNA48641,SAMN00103627,na,representative genome,765177,2275,Desulfurococcus mucosus DSM 2162,strain=DSM 2162,na,latest,Complete Genome,Major,Full,20/01/2011,ASM18636v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000186365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,na,assembly from type material,na,haploid,archaea,1314639,1314639,53,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),06/25/15,1421,1345,50,21677854,87,100.01,0.06219,0.09793,0.04268,0.01138,0.06979,0.07086,0.10943,0.07971,0.0264,0.04478,0.00737,0.01677,0.08197,0.01757,0.04856,0.02324,0.03154,0.04701,0.06387,0.04696,0,0,0,0,0,0,0
GCA_000025505.1,PRJNA33635,SAMN02598503,na,representative genome,589924,54261,Ferroglobus placidus DSM 10642,strain=DSM 10642,na,latest,Complete Genome,Major,Full,16/02/2010,ASM2550v1,US DOE Joint Genome Institute,GCF_000025505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1,na,assembly from type material,na,haploid,archaea,2196266,2196266,44,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,01/28/14,2622,2480,55,22180810,85,90.19,0.07695,0.08577,0.03821,0.0104,0.05278,0.09527,0.0944,0.07062,0.0339,0.04756,0.01127,0.01497,0.06718,0.01484,0.08447,0.022,0.04767,0.03683,0.05526,0.03965,0,0,0,0,0,0,0
GCA_002078355.1,PRJNA316151,SAMN03952737,na,representative genome,74969,74969,Ferroplasma acidiphilum,strain=Y,na,latest,Complete Genome,Major,Full,04/04/2017,ASM207835v1,Max Planck Institute for Chemical Ecology,GCF_002078355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/355/GCA_002078355.1_ASM207835v1,na,assembly from type material,na,haploid,archaea,1826943,1826943,36,1,1,1,Max Planck Institute for Chemical Ecology,Annotation submitted by Max Planck Institute for Chemical Ecology,04/04/2017,1861,1763,62,na,35,45.29,0.10112,0.06064,0.04973,0.00739,0.03891,0.06131,0.08675,0.05996,0.05972,0.05433,0.0058,0.01879,0.06884,0.01595,0.07468,0.03037,0.04736,0.03472,0.07346,0.05017,0,0,0,0,0,0,0
GCA_000258425.1,PRJNA91117,SAMN02603095,na,representative genome,1163730,683846,Fervidicoccus fontis Kam940,strain=Kam940,na,latest,Complete Genome,Major,Full,10/04/2012,ASM25842v1,Centre Bioengineering RAS,GCF_000258425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/425/GCA_000258425.1_ASM25842v1,na,assembly from type material,na,haploid,archaea,1319206,1319206,37,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,04/17/14,1439,1385,45,24366681,80,74.89,0.09677,0.06701,0.04207,0.00953,0.04416,0.07752,0.10039,0.06091,0.04397,0.04441,0.00717,0.01924,0.0667,0.01304,0.08224,0.02429,0.04418,0.03896,0.07464,0.04281,0,0,0,0,0,0,0
GCA_000789255.1,PRJNA261279,SAMN03070125,na,na,565033,565033,Geoglobus acetivorans,strain=SBH6,na,latest,Complete Genome,Major,Full,04/12/2014,ASM78925v1,Centre Bioengineering RAS,GCF_000789255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/255/GCA_000789255.1_ASM78925v1,unverified source organism; not used as type,na,na,haploid,archaea,1860815,1860815,46.5,1,1,1,Centre Bioengineering RAS,Annotation submitted by Centre Bioengineering RAS,12/04/2014,2274,2218,50,25416759,80,83.81,0.07879,0.08171,0.03729,0.00984,0.06054,0.08679,0.09201,0.07243,0.03443,0.05351,0.00968,0.01753,0.07311,0.01679,0.06633,0.02616,0.0452,0.03745,0.057,0.04341,0,0,0,0,0,0,0
GCA_001006045.1,PRJNA258102,SAMN02988852,na,representative genome,113653,113653,Geoglobus ahangari,strain=234,na,latest,Complete Genome,Major,Full,11/05/2015,ASM100604v1,Michigan State University,GCF_001006045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1,na,assembly from type material,na,haploid,archaea,1770093,1770093,53,1,1,1,Michigan State University,Annotation submitted by Michigan State University,05/11/2015,2072,1973,52,na,85,94.72,0.07187,0.09017,0.03716,0.00965,0.06701,0.08964,0.09311,0.07421,0.03067,0.05129,0.00978,0.01661,0.07444,0.0167,0.05935,0.02653,0.04411,0.03793,0.05795,0.0418,0,0,0,0,0,0,0
GCA_000196895.1,PRJNA49517,SAMN02603490,na,representative genome,795797,413810,Halalkalicoccus jeotgali B3,strain=B3,na,latest,Complete Genome,Major,Full,23/06/2010,ASM19689v1,Kyung Hee University,GCF_000196895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,na,assembly from type material,na,haploid,archaea,3698650,3698650,62.5,7,7,7,Kyung Hee University,Annotation submitted by Kyung Hee University,06/25/15,3922,3873,49,20601480,37,60,0.04694,0.08468,0.02814,0.01154,0.06684,0.09172,0.0917,0.10446,0.02381,0.07405,0.00772,0.02381,0.08758,0.0203,0.01905,0.01908,0.03416,0.04677,0.05531,0.06234,0,0,0,0,1.00E-05,0,0
GCA_000223905.1,PRJNA68523,SAMN02602960,na,na,634497,51589,Haloarcula hispanica ATCC 33960,strain=CGMCC 1.2049,na,latest,Complete Genome,Major,Full,17/08/2011,ASM22390v1," Institute of Microbiology, Chinese Academy of Sciences",GCF_000223905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,na,assembly from type material,na,haploid,archaea,3890005,3890005,62,3,3,3," Institute of Microbiology, Chinese Academy of Sciences","Annotation submitted by  Institute of Microbiology, Chinese Academy of Sciences",07/25/16,3924,3859,60,21994921,37,40.64,0.04329,0.08832,0.0271,0.0112,0.06029,0.08164,0.08906,0.10616,0.02478,0.08436,0.0072,0.03017,0.08383,0.01965,0.01924,0.01859,0.03271,0.04595,0.05815,0.0683,0,0,0,0,0,0,0
GCA_000504565.2,PRJNA227070,SAMN02393367,na,na,1417673,51589,Haloarcula hispanica N601,strain=N601,na,latest,Complete Genome,Major,Full,09/01/2014,ASM50456v2,"Academia Sinica, Taipei, Taiwan",GCF_000504565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2,na,na,na,haploid,archaea,3901495,3901495,62,4,4,4,"Academia Sinica, Taipei, Taiwan","Annotation submitted by Academia Sinica, Taipei, Taiwan",11/18/13,4014,3932,60,24625874,37,40.48,0.04333,0.08821,0.02709,0.01128,0.06043,0.08135,0.08903,0.10582,0.02484,0.08414,0.00734,0.03023,0.08373,0.01966,0.01935,0.01872,0.03267,0.04601,0.05841,0.06835,0,0,0,0,0,0,0
GCA_000011085.1,PRJNA105,SAMN02603385,na,representative genome,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,02/11/2004,ASM1108v1,Institute for Systems Biology,GCF_000011085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,na,assembly from type material,na,haploid,archaea,4274642,4274642,61,9,9,9,Institute for Systems Biology,Annotation submitted by Institute for Systems Biology,08/29/18,4301,4240,61,15520287,37,39.03,0.04384,0.08643,0.02719,0.01148,0.06124,0.08088,0.08812,0.10409,0.02588,0.08323,0.0076,0.03126,0.08271,0.02009,0.02003,0.01878,0.03257,0.04592,0.05953,0.06913,0,0,0,0,0,0,0
GCA_005310945.1,PRJNA412908,SAMN11356379,na,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,na,latest,Complete Genome,Major,Full,14/05/2019,ASM531094v1,University of Maryland,GCF_005310945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/310/945/GCA_005310945.1_ASM531094v1,na,assembly from type material,na,haploid,archaea,4184924,4184924,61,7,7,7,NCBI,NCBI Prokaryotic Genome Annotation Pipeline,04/10/2019,4236,4033,61,31270201,37,40.14,0.04414,0.08721,0.0272,0.01139,0.06037,0.08152,0.08852,0.10499,0.02573,0.08376,0.00717,0.03099,0.0831,0.01981,0.01991,0.01835,0.03268,0.04547,0.05878,0.06889,0,0,0,0,0,0,0
GCA_004803735.1,PRJNA531092,SAMN11349655,na,na,57705,57705,Halomicrobium mukohataei,strain=JP60,na,latest,Complete Genome,Major,Full,23/04/2019,ASM480373v1,Jiangsu University,GCF_004803735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/803/735/GCA_004803735.1_ASM480373v1,na,na,na,haploid,archaea,3316057,3316057,65.5,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),04/16/19,3363,3215,56,na,37,47.3,0.03941,0.09214,0.02659,0.01142,0.06653,0.08275,0.08916,0.11101,0.02153,0.08633,0.00726,0.02724,0.08486,0.01967,0.01676,0.01687,0.03169,0.04615,0.05599,0.06663,0,0,0,0,0,0,0
GCA_000023965.1,PRJNA27945,SAMN00002610,na,representative genome,485914,57705,Halomicrobium mukohataei DSM 12286,strain=DSM 12286,na,latest,Complete Genome,Major,Full,03/09/2009,ASM2396v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1,na,assembly from type material,na,haploid,archaea,3332349,3332349,65.5,2,2,2,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),07/24/16,3475,3349,60,21304667,37,46.94,0.03925,0.09177,0.02662,0.0115,0.06659,0.0829,0.08899,0.11081,0.02158,0.08656,0.00737,0.02736,0.08479,0.01973,0.01677,0.01698,0.03158,0.04614,0.05597,0.06676,0,0,0,0,0,0,0
GCA_004799605.1,PRJNA530823,SAMN11158145,na,representative genome,2242,2242,Halobacterium salinarum,strain=91-R6,na,latest,Complete Genome,Major,Full,18/04/2019,ASM479960v1,Max-Planck-Institute of Biochemistry,GCF_004799605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/605/GCA_004799605.1_ASM479960v1,na,assembly from type material,na,haploid,archaea,2429680,2429680,66,3,3,3,Max-Planck-Institute of Biochemistry,Annotation submitted by Max-Planck-Institute of Biochemistry,03/29/21,2677,2451,53,31296677;31797576,37,28.79,0.03712,0.09399,0.02615,0.01098,0.06443,0.07021,0.08536,0.12682,0.02229,0.08994,0.00711,0.02695,0.0826,0.02241,0.01775,0.01689,0.0313,0.04642,0.05294,0.06831,0,0,0,0,0,0,0
GCA_030345255.1,PRJNA983580,SAMN35731342,na,na,2242,2242,Halobacterium salinarum,strain=KBTZ01,na,latest,Complete Genome,Major,Full,26/06/2023,ASM3034525v1,Nazarbayev University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/345/255/GCA_030345255.1_ASM3034525v1,na,na,na,haploid,archaea,2363860,2363860,66.5,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/20/23,2600,2277,52,na,37,24.7,0.03691,0.09429,0.0257,0.01096,0.06385,0.06804,0.08415,0.12815,0.02226,0.08942,0.00722,0.02702,0.08379,0.02219,0.0169,0.01736,0.03108,0.04666,0.05437,0.06969,0,0,0,0,0,0,0
GCA_000006805.1,PRJNA412908,SAMN02604216,na,na,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,na,latest,Complete Genome,Major,Full,09/01/2001,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCF_000006805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,na,na,na,haploid,archaea,2571010,2571010,65.5,3,3,3,"University of Massachusetts-Amherst, University of Washington","Annotation submitted by University of Massachusetts-Amherst, University of Washington",03/01/2021,2509,2457,52,1864501;1398080;2552415;3448465;9847077;2050644;11016950;8335618;8002589;8335077;8423144,37,29.41,0.03778,0.09289,0.02595,0.01107,0.06553,0.07002,0.08567,0.12407,0.02234,0.08889,0.00755,0.02783,0.08246,0.02245,0.01795,0.01733,0.03142,0.04676,0.05402,0.06802,0,0,0,0,0,0,0
GCA_000069025.1,PRJNA106,SAMEA3138275,na,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,na,latest,Complete Genome,Major,Full,12/02/2008,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,na,na,na,haploid,archaea,2668776,2668776,65.5,5,5,5,Max Planck Institute,Annotation submitted by Max Planck Institute,02/02/2017,3050,2704,52,18313895,37,30.77,0.03794,0.093,0.02642,0.01105,0.06474,0.07089,0.08633,0.12429,0.02246,0.08938,0.00745,0.02805,0.08164,0.02207,0.01774,0.01677,0.03137,0.04587,0.05402,0.06851,0,0,0,0,0,0,0
