assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_001558755.2,PRJNA231221,SAMN03996290,,na,85698,85698,Achromobacter xylosoxidans,strain=FDAARGOS_147,,latest,Complete Genome,Major,Full,05/02/2018,ASM155875v2,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCF_001558755.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/755/GCA_001558755.2_ASM155875v2,,,na,31,27.83,0.04245,0.07484,0.02444,0.0149,0.07325,0.04769,0.10966,0.13634,0.02554,0.05474,0.00848,0.03935,0.08685,0.02074,0.0271,0.02377,0.03299,0.05442,0.05172,0.05074,0,0,0,0,0,0,0
GCA_001558915.2,PRJNA231221,SAMN03996305,,na,85698,85698,Achromobacter xylosoxidans,strain=FDAARGOS_162,,latest,Complete Genome,Major,Full,12/02/2018,ASM155891v2,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCF_001558915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/915/GCA_001558915.2_ASM155891v2,,,na,31,29.04,0.04314,0.07463,0.02437,0.01485,0.07339,0.04874,0.10938,0.13501,0.02572,0.05466,0.00859,0.03886,0.08604,0.02088,0.0283,0.02385,0.03339,0.05416,0.05162,0.0504,0,0,0,0,0,0,0
GCA_013282235.1,PRJNA604252,SAMN13961776,,na,85698,85698,Achromobacter xylosoxidans,strain=GN050,,latest,Complete Genome,Major,Full,05/06/2020,ASM1328223v1,Medical College of Wisconsin,GCF_013282235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/282/235/GCA_013282235.1_ASM1328223v1,,,na,31,29.17,0.04289,0.07477,0.02463,0.01483,0.07375,0.04811,0.10969,0.136,0.0254,0.05445,0.00863,0.03891,0.08617,0.02088,0.02745,0.02414,0.03329,0.05447,0.05173,0.04983,0,0,0,0,0,0,0
GCA_013343135.1,PRJNA231221,SAMN11056504,,na,85698,85698,Achromobacter xylosoxidans,strain=FDAARGOS_789,,latest,Complete Genome,Major,Full,15/06/2020,ASM1334313v1,US Food and Drug Administration,GCF_013343135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/135/GCA_013343135.1_ASM1334313v1,,assembly from type material,na,31,29.32,0.04295,0.07467,0.02456,0.01498,0.07382,0.04849,0.10936,0.13541,0.02545,0.05446,0.00873,0.03899,0.08589,0.0209,0.0276,0.024,0.03333,0.05447,0.05204,0.0499,0,0,0,0,0,0,0
GCA_016728825.1,PRJNA231221,SAMN16357260,,representative genome,85698,85698,Achromobacter xylosoxidans,strain=FDAARGOS_1091,,latest,Complete Genome,Major,Full,20/01/2021,ASM1672882v1,US Food and Drug Administration,GCF_016728825.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/728/825/GCA_016728825.1_ASM1672882v1,,,na,31,29.04,0.043,0.07465,0.02442,0.01492,0.07386,0.04846,0.1092,0.13575,0.02554,0.05469,0.00862,0.03903,0.08606,0.02081,0.02781,0.02387,0.03325,0.05428,0.05179,0.04999,0,0,0,0,0,0,0
GCA_000165835.1,PRJNA48393,SAMN02603404,,na,762376,85698,Achromobacter xylosoxidans A8,strain=A8,,latest,Complete Genome,Major,Full,29/10/2010,ASM16583v1,"Institute of Molecular Genetics, Academy of Sciences of the Czech Republic",GCF_000165835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/835/GCA_000165835.1_ASM16583v1,,,na,31,27.8,0.04436,0.07487,0.02497,0.01422,0.07042,0.05071,0.10765,0.1319,0.02619,0.05307,0.0089,0.03985,0.08614,0.02079,0.02947,0.02526,0.03323,0.05321,0.05465,0.05014,0,0,0,0,0,0,0
GCA_000023265.1,PRJNA29525,SAMN02598466,,representative genome,525909,53635,Acidimicrobium ferrooxidans DSM 10331,strain=DSM 10331,,latest,Complete Genome,Major,Full,18/08/2009,ASM2326v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/265/GCA_000023265.1_ASM2326v1,,assembly from type material,na,45,67.54,0.04101,0.09912,0.01813,0.01431,0.08722,0.06122,0.10861,0.13786,0.0158,0.05438,0.00615,0.02556,0.08903,0.02208,0.01288,0.01565,0.0272,0.05475,0.05509,0.05397,0,0,0,0,0,0,0
GCA_000016725.1,PRJNA15753,SAMN02598339,,na,349163,524,Acidiphilium cryptum JF-5,strain=JF-5,,latest,Complete Genome,Major,Full,11/05/2007,ASM1672v1,US DOE Joint Genome Institute,GCF_000016725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/725/GCA_000016725.1_ASM1672v1,,,na,31,31.42,0.05117,0.07028,0.01974,0.01298,0.08189,0.05076,0.10423,0.14706,0.0228,0.0525,0.00867,0.02729,0.09034,0.0227,0.02339,0.02338,0.03495,0.05712,0.04733,0.05142,0,0,0,0,0,0,0
GCA_003956085.1,PRJNA481392,SAMN09667102,,na,1748,1748,Acidipropionibacterium acidipropionici,strain=WGS7,,latest,Complete Genome,Major,Full,19/12/2018,ASM395608v1,Australian Institute for Bioengineering and Nanotechnology,GCF_003956085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/956/085/GCA_003956085.1_ASM395608v1,,,na,30,31.08,0.04519,0.08561,0.01963,0.01631,0.07433,0.05323,0.09639,0.1231,0.02047,0.06332,0.00841,0.0295,0.09167,0.02216,0.02336,0.02267,0.02811,0.05522,0.06003,0.06128,0,0,0,0,0,0,0
GCA_001650235.3,PRJNA318365,SAMN04849265,,na,33059,33059,Acidithiobacillus caldus,strain=MTH-04,,latest,Complete Genome,Major,Full,06/09/2019,ASM165023v3,Shandong University,GCF_001650235.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/235/GCA_001650235.3_ASM165023v3,,,na,42,50.7,0.04618,0.06997,0.02494,0.01738,0.07802,0.05768,0.11747,0.11603,0.02439,0.05057,0.00929,0.04301,0.0801,0.02603,0.02921,0.02151,0.03576,0.05417,0.0527,0.0456,0,0,0,0,0,0,0
GCA_000175575.2,PRJNA36585,SAMN02469802,,na,637389,33059,Acidithiobacillus caldus ATCC 51756,strain=ATCC 51756,,latest,Complete Genome,Major,Full,27/05/2014,ASM17557v2,Center for Bioinformatics and Genome Biology,GCF_000175575.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/575/GCA_000175575.2_ASM17557v2,,assembly from type material,na,42,51.36,0.04655,0.06997,0.02544,0.01754,0.07818,0.05706,0.11759,0.11649,0.02414,0.05034,0.00883,0.04283,0.08148,0.02524,0.02789,0.02157,0.0355,0.05441,0.0535,0.04544,0,0,0,0,2.00E-05,0,0
GCA_000221025.1,PRJNA63223,SAMN02603220,,na,990288,33059,Acidithiobacillus caldus SM-1,strain=SM-1,,latest,Complete Genome,Major,Full,20/07/2011,ASM22102v1,Environmental Microbiology Research Center (EMRC),GCF_000221025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/025/GCA_000221025.1_ASM22102v1,,,na,42,49.66,0.04688,0.06945,0.02564,0.01742,0.07744,0.05731,0.11638,0.11502,0.02485,0.05031,0.00917,0.04312,0.07991,0.02585,0.02996,0.02186,0.03585,0.05401,0.05338,0.04619,0,0,0,0,0,0,0
GCA_016250455.1,PRJNA648684,SAMN15644336,,na,160808,160808,Acidithiobacillus ferrivorans,strain=XJFY6S-08,,latest,Complete Genome,Major,Full,22/12/2020,ASM1625045v1,Heilongjiang Bayi Agricultural University,GCF_016250455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/250/455/GCA_016250455.1_ASM1625045v1,,,na,28,35.95,0.05421,0.07079,0.02664,0.01584,0.06559,0.0531,0.10972,0.11187,0.02955,0.05037,0.00944,0.04379,0.08024,0.02696,0.03227,0.02584,0.03569,0.05155,0.05554,0.05101,0,0,0,0,0,0,0
GCA_020887015.1,PRJDB12184,SAMD00400416,,na,920,920,Acidithiobacillus ferrooxidans,strain=NFP31,,latest,Complete Genome,Major,Full,01/10/2021,ASM2088701v1,"Ibaraki university, college of agriculture",GCF_020887015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/887/015/GCA_020887015.1_ASM2088701v1,,,na,28,38.26,0.05187,0.07029,0.02626,0.01605,0.0696,0.05505,0.10923,0.11236,0.02826,0.05176,0.0094,0.04283,0.08142,0.02689,0.03231,0.0254,0.03546,0.05273,0.05316,0.04966,0,0,0,0,0,0,0
GCA_000021485.1,PRJNA53,SAMN02603974,,na,243159,920,Acidithiobacillus ferrooxidans ATCC 23270,strain=ATCC 23270,,latest,Complete Genome,Major,Full,19/12/2008,ASM2148v1,TIGR,GCF_000021485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/485/GCA_000021485.1_ASM2148v1,,assembly from type material,na,28,38.36,0.05236,0.07028,0.02625,0.01603,0.07048,0.05352,0.10952,0.11217,0.02799,0.05058,0.01018,0.04213,0.08267,0.02715,0.03051,0.02555,0.03556,0.05351,0.05394,0.0496,0,0,0,0,0,0,0
GCA_009662475.1,PRJNA577769,SAMN13037501,,representative genome,637390,930,Acidithiobacillus thiooxidans ATCC 19377,strain=ATCC 19377,,latest,Complete Genome,Major,Full,14/11/2019,ASM966247v1,Shandong University(Qingdao),GCF_009662475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/662/475/GCA_009662475.1_ASM966247v1,,assembly from type material,na,27,34.55,0.05525,0.06707,0.02673,0.01659,0.06263,0.05556,0.11057,0.10543,0.03221,0.049,0.0094,0.04772,0.07576,0.02753,0.03716,0.02627,0.03678,0.05091,0.0585,0.04893,0,0,0,0,0,0,0
GCA_000015025.1,PRJNA16097,SAMN02598358,,representative genome,351607,28049,Acidothermus cellulolyticus 11B,strain=11B; ATCC 43068,,latest,Complete Genome,Major,Full,09/11/2006,ASM1502v1,DOE Joint Genome Institute,GCF_000015025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/025/GCA_000015025.1_ASM1502v1,,assembly from type material,na,55,45.29,0.04196,0.09191,0.02127,0.01388,0.08499,0.05134,0.1005,0.13731,0.01909,0.05777,0.00851,0.02764,0.08767,0.02178,0.01711,0.01623,0.02928,0.06177,0.05083,0.05914,0,0,0,0,0,0,0
GCA_000176855.2,PRJNA37867,SAMN00006197,,representative genome,643561,80867,Acidovorax avenae subsp. avenae ATCC 19860,strain=ATCC 19860,,latest,Complete Genome,Major,Full,14/02/2011,ASM17685v2,US DOE Joint Genome Institute (JGI-PGF),GCF_000176855.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/855/GCA_000176855.2_ASM17685v2,,assembly from type material,na,27,23.83,0.03902,0.07495,0.02096,0.01524,0.07544,0.05154,0.10581,0.13931,0.02216,0.0518,0.00933,0.04086,0.08839,0.02366,0.02544,0.02346,0.03303,0.0579,0.05185,0.04984,0,0,0,0,0,0,0
GCA_002441975.1,PRJNA412560,SAMN07718226,,na,80869,80869,Acidovorax citrulli,strain=KACC17005,,latest,Complete Genome,Major,Full,04/10/2017,ASM244197v1,Chung Ang University,GCF_002441975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/441/975/GCA_002441975.1_ASM244197v1,,,na,28,24.11,0.03932,0.0746,0.02133,0.01536,0.07682,0.05246,0.10335,0.13867,0.02248,0.05197,0.00949,0.04096,0.08704,0.02364,0.02711,0.02368,0.03259,0.05734,0.05171,0.05006,0,0,0,0,0,0,0
GCA_020783275.1,PRJNA774960,SAMN22599710,,na,80869,80869,Acidovorax citrulli,strain=HPP21-3-3B,,latest,Complete Genome,Major,Full,07/11/2021,ASM2078327v1,Kangwon National University,GCF_020783275.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/783/275/GCA_020783275.1_ASM2078327v1,,,na,28,24.05,0.03912,0.07482,0.02114,0.01527,0.07623,0.05225,0.10436,0.13897,0.02245,0.05181,0.00939,0.04048,0.08789,0.02365,0.02644,0.02358,0.033,0.05796,0.05154,0.04963,0,0,0,0,0,0,0
GCA_000746605.1,PRJNA256158,SAMN02940901,,na,470,470,Acinetobacter baumannii,strain=AB031,,latest,Complete Genome,Major,Full,29/08/2014,ASM74660v1,University of Manitoba,GCF_000746605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/605/GCA_000746605.1_ASM74660v1,,,na,33,27.62,0.06857,0.06737,0.03249,0.01264,0.04272,0.05898,0.10423,0.08659,0.04474,0.05048,0.00954,0.05217,0.0671,0.02346,0.05686,0.02405,0.04292,0.04037,0.06059,0.05414,0,0,0,0,0,0,0
GCA_000746645.1,PRJNA256157,SAMN02940899,,na,470,470,Acinetobacter baumannii,strain=AB030,,latest,Complete Genome,Major,Full,29/08/2014,ASM74664v1,University of Manitoba,GCF_000746645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1,,,na,33,27.85,0.06825,0.06666,0.03269,0.01268,0.04378,0.06055,0.10264,0.08562,0.04557,0.05112,0.00956,0.05136,0.06608,0.02298,0.05895,0.0241,0.04295,0.03991,0.06058,0.05396,0,0,0,0,0,0,0
GCA_001026965.1,PRJNA273343,SAMN03290686,,na,470,470,Acinetobacter baumannii,strain=XH386,,latest,Complete Genome,Major,Full,03/06/2015,ASM102696v1,"Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University",GCF_001026965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/026/965/GCA_001026965.1_ASM102696v1,,,na,33,27.85,0.06853,0.06718,0.03255,0.01284,0.04282,0.0599,0.10343,0.08584,0.0453,0.05127,0.00955,0.05129,0.06632,0.02307,0.05809,0.02384,0.04295,0.04011,0.06084,0.05429,0,0,0,0,0,0,0
GCA_001261895.2,PRJEB9721,SAMEA3751109,,na,470,470,Acinetobacter baumannii,,R2090,latest,Complete Genome,Major,Full,23/07/2015,R2090,CEBITEC,GCF_001261895.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/261/895/GCA_001261895.2_R2090,,,na,33,28.23,0.06871,0.06692,0.03251,0.01289,0.04298,0.05926,0.10439,0.08575,0.04466,0.05035,0.00969,0.05262,0.06633,0.0238,0.05743,0.02426,0.04311,0.04034,0.06056,0.05345,0,0,0,0,0,0,0
GCA_001514375.1,PRJNA291316,SAMN03941550,,na,470,470,Acinetobacter baumannii,strain=KBN10P02143,,latest,Complete Genome,Major,Full,14/01/2016,ASM151437v1,Kyungpook national university hospital,GCF_001514375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/375/GCA_001514375.1_ASM151437v1,,,na,33,26.87,0.0683,0.0672,0.03273,0.01279,0.04264,0.05951,0.10304,0.08607,0.04558,0.05108,0.00955,0.05157,0.06651,0.02304,0.05811,0.02383,0.04284,0.04016,0.06087,0.0546,0,0,0,0,0,0,0
GCA_001573105.1,PRJNA290306,SAMN03890255,,na,470,470,Acinetobacter baumannii,strain=XH857,,latest,Complete Genome,Major,Full,25/02/2016,ASM157310v1,"Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University",GCF_001573105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/573/105/GCA_001573105.1_ASM157310v1,,,na,33,28.95,0.06881,0.06696,0.03255,0.01305,0.04326,0.05925,0.10454,0.08609,0.04452,0.05041,0.00962,0.05215,0.0661,0.02365,0.05728,0.02409,0.04319,0.04043,0.06046,0.05359,0,0,0,0,0,0,0
GCA_001636235.1,PRJNA311558,SAMN04485290,,na,470,470,Acinetobacter baumannii,strain=3207,,latest,Complete Genome,Major,Full,03/05/2016,ASM163623v1,"Center for Genomic Sciences, National Autonomous University of Mexico (UNAM)",GCF_001636235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/235/GCA_001636235.1_ASM163623v1,,,na,33,27.59,0.06843,0.0664,0.0327,0.01277,0.04319,0.06008,0.1034,0.0854,0.04519,0.05112,0.00976,0.0519,0.06577,0.02338,0.05854,0.02403,0.04299,0.04007,0.06083,0.05404,0,0,0,0,0,0,0
GCA_001674505.2,PRJNA271775,SAMN05238571,,na,470,470,Acinetobacter baumannii,strain=ABUH796,,latest,Complete Genome,Major,Full,22/01/2019,ASM167450v2,JCVI,GCF_001674505.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/674/505/GCA_001674505.2_ASM167450v2,,,na,33,28.43,0.06873,0.06709,0.0324,0.01296,0.04327,0.05909,0.10431,0.08595,0.04435,0.05053,0.00971,0.05244,0.06625,0.02369,0.05745,0.02406,0.04299,0.04048,0.06044,0.05379,0,0,0,0,0,0,0
GCA_001806405.1,PRJNA339686,SAMN05601669,,na,470,470,Acinetobacter baumannii,strain=KAB04,,latest,Complete Genome,Major,Full,21/10/2016,ASM180640v1,Korea Basic Science Institute,GCF_001806405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/405/GCA_001806405.1_ASM180640v1,,,na,33,27.25,0.06873,0.06703,0.03265,0.01289,0.04271,0.05919,0.1034,0.08563,0.04547,0.05088,0.0096,0.052,0.06612,0.02313,0.05808,0.02387,0.04295,0.04012,0.06104,0.05451,0,0,0,0,0,0,0
GCA_001806465.1,PRJNA339690,SAMN05601672,,na,470,470,Acinetobacter baumannii,strain=KAB07,,latest,Complete Genome,Major,Full,21/10/2016,ASM180646v1,Korea Basic Science Institute,GCF_001806465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/465/GCA_001806465.1_ASM180646v1,,,na,33,27.28,0.0687,0.06729,0.03271,0.01275,0.04243,0.05932,0.10343,0.08576,0.0455,0.05096,0.00955,0.05171,0.06623,0.02311,0.05793,0.02395,0.04295,0.04021,0.061,0.0545,0,0,0,0,0,0,0
GCA_001922205.1,PRJNA296424,SAMN04096368,,na,470,470,Acinetobacter baumannii,strain=CMC-CR-MDR-Ab4,,latest,Complete Genome,Major,Full,27/12/2016,ASM192220v1,Virginia Tech,GCF_001922205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/205/GCA_001922205.1_ASM192220v1,,,na,33,28.16,0.06888,0.06712,0.03256,0.01278,0.04266,0.05978,0.10379,0.08552,0.04534,0.05095,0.0096,0.05135,0.06603,0.02321,0.05814,0.02392,0.04308,0.04014,0.06093,0.05421,0,0,0,0,0,0,0
GCA_001922225.1,PRJNA296424,SAMN04096369,,na,470,470,Acinetobacter baumannii,strain=CMC-MDR-Ab59,,latest,Complete Genome,Major,Full,27/12/2016,ASM192222v1,Virginia Tech,GCF_001922225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/225/GCA_001922225.1_ASM192222v1,,,na,33,27.94,0.06869,0.0673,0.03253,0.01281,0.04261,0.05958,0.10382,0.08604,0.04517,0.05091,0.00952,0.05144,0.06639,0.02325,0.05765,0.02386,0.04301,0.04025,0.06081,0.05436,0,0,0,0,0,0,0
GCA_002082645.1,PRJNA380857,SAMN06650245,,na,470,470,Acinetobacter baumannii,strain=CBA7,,latest,Complete Genome,Major,Full,10/04/2017,ASM208264v1,Yonsei University College of medicine,GCF_002082645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/645/GCA_002082645.1_ASM208264v1,,,na,33,27.28,0.06793,0.06713,0.03255,0.01292,0.04309,0.05994,0.10309,0.08608,0.04501,0.05126,0.00962,0.05202,0.06612,0.02327,0.05799,0.02392,0.04267,0.04019,0.06081,0.05439,0,0,0,0,0,0,0
